Time,V(OUTPUT)
0.000000000000e+000,0.000000000000e+000
2.000000000000e-013,2.891253494397e-007
4.000000000000e-013,2.891062038657e-007
7.999957698397e-013,3.975825810798e-007
1.599987309519e-012,3.972477076175e-007
3.199970388878e-012,3.959613934512e-007
6.399936547596e-012,5.740145523347e-007
1.279986886503e-011,3.704335309607e-007
2.559973349990e-011,-5.542686887239e-007
4.559988578977e-011,-4.715114796383e-007
6.560003807964e-011,-3.320316812605e-007
8.560019036951e-011,1.173922985487e-007
1.056003426594e-010,5.599316166283e-007
1.256004949492e-010,7.660700473977e-007
1.456006472391e-010,6.622594002081e-007
1.656007995290e-010,1.077359695678e-006
1.856009518188e-010,8.036480529938e-007
2.056011041087e-010,5.624935752735e-007
2.256012563986e-010,4.659022447839e-007
2.456014086884e-010,1.556355213594e-007
2.656015609783e-010,5.845283723716e-008
2.856017132682e-010,3.853726759928e-008
3.056018655580e-010,7.762732678884e-008
3.256020178479e-010,-6.718247709259e-007
3.456021701378e-010,-1.285858237665e-006
3.656023224276e-010,-1.785598176873e-006
3.856024747175e-010,-1.338671694384e-006
4.056026270074e-010,-8.386867218491e-007
4.256027792973e-010,-4.577374710379e-007
4.456029315871e-010,-1.356869354652e-007
4.656030838770e-010,8.527389958601e-007
4.856032361669e-010,1.763570399937e-006
5.056033884567e-010,2.022115387135e-006
5.256035407466e-010,2.219528819403e-006
5.456036930365e-010,1.858093175322e-006
5.656038453263e-010,1.868806957184e-006
5.856039976162e-010,1.718940457529e-006
6.056041499061e-010,7.503667349695e-007
6.256043021959e-010,2.116288921883e-008
6.456044544858e-010,-1.405109010477e-006
6.656046067757e-010,-2.874051252988e-006
6.856047590655e-010,-4.478236899530e-006
7.056049113554e-010,-6.221500897574e-006
7.256050636453e-010,-6.842009836916e-006
7.456052159351e-010,-6.578055844031e-006
7.656053682250e-010,-4.928333101617e-006
7.856055205149e-010,-1.432736953078e-006
8.056056728047e-010,3.365654992926e-006
8.256058250946e-010,8.817219096180e-006
8.456059773845e-010,1.335476897690e-005
8.656061296743e-010,1.650926828400e-005
8.856062819642e-010,1.715966639804e-005
9.056064342541e-010,1.547080677167e-005
9.256065865439e-010,1.074244583688e-005
9.456067388338e-010,2.627965273838e-006
9.656068911237e-010,-7.629337463122e-006
9.856070434135e-010,-1.990197165824e-005
1.005607195703e-009,-3.182004639957e-005
1.025607347993e-009,-4.041243878472e-005
1.045607500283e-009,-4.470639708654e-005
1.065607652573e-009,-4.203882200837e-005
1.085607804863e-009,-3.078028747261e-005
1.105607957153e-009,-1.054620565188e-005
1.125608109443e-009,1.696280808439e-005
1.145608261732e-009,4.740214275323e-005
1.165608414022e-009,7.692220398070e-005
1.185608566312e-009,1.006762548936e-004
1.205608718602e-009,1.129898388061e-004
1.225608870892e-009,1.089180446829e-004
1.245609023182e-009,8.541548969987e-005
1.265609175472e-009,4.079511254496e-005
1.285609327762e-009,-2.299018526930e-005
1.305609480051e-009,-9.905705601909e-005
1.325609632341e-009,-1.765909344620e-004
1.345609784631e-009,-2.420787550603e-004
1.365609936921e-009,-2.821173648764e-004
1.385610089211e-009,-2.836500607435e-004
1.405610241501e-009,-2.363423099441e-004
1.425610393791e-009,-1.352381417998e-004
1.445610546080e-009,1.862949207343e-005
1.465610698370e-009,2.124940808024e-004
1.485610850660e-009,4.163539557096e-004
1.505611002950e-009,5.979091453607e-004
1.525611155240e-009,7.209633859278e-004
1.545611307530e-009,7.498638141437e-004
1.565611459820e-009,6.616497361875e-004
1.585611612110e-009,4.267883223017e-004
1.605611764399e-009,5.240343582091e-005
1.625611916689e-009,-4.264424512890e-004
1.645612068979e-009,-9.519396124364e-004
1.665612221269e-009,-1.444030729505e-003
1.685612373559e-009,-1.809472006954e-003
1.705612525849e-009,-1.975011435717e-003
1.725612678139e-009,-1.816156628390e-003
1.745612830428e-009,-1.296945525882e-003
1.765612982718e-009,-3.909407873532e-004
1.785613135008e-009,8.436176212872e-004
1.805613287298e-009,2.270242158418e-003
1.825613439588e-009,3.679162126867e-003
