Freq.	V(v1)/I(V1)
3.00000000000000e+09	-3.47453688689125e+02,-6.27277742772175e+02
3.00100100100100e+09	-3.48741149437222e+02,-6.27744459732329e+02
3.00200200200200e+09	-3.50033244160514e+02,-6.28208916886019e+02
3.00300300300300e+09	-3.51329982365112e+02,-6.28671086476801e+02
3.00400400400400e+09	-3.52631373458322e+02,-6.29130940548349e+02
3.00500500500500e+09	-3.53937426746644e+02,-6.29588450943788e+02
3.00600600600601e+09	-3.55248151433722e+02,-6.30043589305022e+02
3.00700700700701e+09	-3.56563556618299e+02,-6.30496327072095e+02
3.00800800800801e+09	-3.57883651292140e+02,-6.30946635482560e+02
3.00900900900901e+09	-3.59208444337926e+02,-6.31394485570843e+02
3.01001001001001e+09	-3.60537944527147e+02,-6.31839848167646e+02
3.01101101101101e+09	-3.61872160517936e+02,-6.32282693899328e+02
3.01201201201201e+09	-3.63211100852928e+02,-6.32722993187341e+02
3.01301301301301e+09	-3.64554773957051e+02,-6.33160716247639e+02
3.01401401401401e+09	-3.65903188135326e+02,-6.33595833090123e+02
3.01501501501501e+09	-3.67256351570643e+02,-6.34028313518106e+02
3.01601601601601e+09	-3.68614272321489e+02,-6.34458127127769e+02
3.01701701701701e+09	-3.69976958319678e+02,-6.34885243307646e+02
3.01801801801802e+09	-3.71344417368057e+02,-6.35309631238130e+02
3.01901901901902e+09	-3.72716657138174e+02,-6.35731259890977e+02
3.02002002002002e+09	-3.74093685167930e+02,-6.36150098028840e+02
3.02102102102102e+09	-3.75475508859228e+02,-6.36566114204817e+02
3.02202202202202e+09	-3.76862135475566e+02,-6.36979276762010e+02
3.02302302302302e+09	-3.78253572139623e+02,-6.37389553833100e+02
3.02402402402402e+09	-3.79649825830836e+02,-6.37796913339953e+02
3.02502502502502e+09	-3.81050903382921e+02,-6.38201322993220e+02
3.02602602602602e+09	-3.82456811481398e+02,-6.38602750291977e+02
3.02702702702702e+09	-3.83867556661098e+02,-6.39001162523380e+02
3.02802802802802e+09	-3.85283145303612e+02,-6.39396526762319e+02
3.02902902902903e+09	-3.86703583634753e+02,-6.39788809871122e+02
3.03003003003003e+09	-3.88128877721975e+02,-6.40177978499248e+02
3.03103103103103e+09	-3.89559033471778e+02,-6.40563999083028e+02
3.03203203203203e+09	-3.90994056627079e+02,-6.40946837845402e+02
3.03303303303303e+09	-3.92433952764578e+02,-6.41326460795697e+02
3.03403403403403e+09	-3.93878727292082e+02,-6.41702833729410e+02
3.03503503503503e+09	-3.95328385445808e+02,-6.42075922228023e+02
3.03603603603603e+09	-3.96782932287689e+02,-6.42445691658843e+02
3.03703703703703e+09	-3.98242372702620e+02,-6.42812107174850e+02
3.03803803803803e+09	-3.99706711395696e+02,-6.43175133714582e+02
3.03903903903903e+09	-4.01175952889432e+02,-6.43534736002035e+02
3.04004004004004e+09	-4.02650101520966e+02,-6.43890878546599e+02
3.04104104104104e+09	-4.04129161439212e+02,-6.44243525643000e+02
3.04204204204204e+09	-4.05613136602017e+02,-6.44592641371284e+02
3.04304304304304e+09	-4.07102030773282e+02,-6.44938189596817e+02
3.04404404404404e+09	-4.08595847520070e+02,-6.45280133970314e+02
3.04504504504504e+09	-4.10094590209673e+02,-6.45618437927896e+02
3.04604604604604e+09	-4.11598262006673e+02,-6.45953064691166e+02
3.04704704704704e+09	-4.13106865869978e+02,-6.46283977267325e+02
3.04804804804804e+09	-4.14620404549829e+02,-6.46611138449306e+02
3.04904904904904e+09	-4.16138880584779e+02,-6.46934510815935e+02
3.05005005005004e+09	-4.17662296298686e+02,-6.47254056732138e+02
3.05105105105104e+09	-4.19190653797608e+02,-6.47569738349145e+02
3.05205205205205e+09	-4.20723954966786e+02,-6.47881517604767e+02
3.05305305305305e+09	-4.22262201467481e+02,-6.48189356223657e+02
3.05405405405405e+09	-4.23805394733891e+02,-6.48493215717641e+02
3.05505505505505e+09	-4.25353535969993e+02,-6.48793057386058e+02
3.05605605605605e+09	-4.26906626146373e+02,-6.49088842316141e+02
3.05705705705705e+09	-4.28464665997034e+02,-6.49380531383417e+02
3.05805805805805e+09	-4.30027656016211e+02,-6.49668085252173e+02
3.05905905905905e+09	-4.31595596455100e+02,-6.49951464375910e+02
3.06006006006005e+09	-4.33168487318636e+02,-6.50230628997867e+02
3.06106106106105e+09	-4.34746328362212e+02,-6.50505539151567e+02
3.06206206206205e+09	-4.36329119088373e+02,-6.50776154661392e+02
3.06306306306306e+09	-4.37916858743521e+02,-6.51042435143208e+02
3.06406406406406e+09	-4.39509546314563e+02,-6.51304340005012e+02
3.06506506506506e+09	-4.41107180525563e+02,-6.51561828447627e+02
3.06606606606606e+09	-4.42709759834377e+02,-6.51814859465428e+02
3.06706706706706e+09	-4.44317282429234e+02,-6.52063391847105e+02
3.06806806806806e+09	-4.45929746225341e+02,-6.52307384176473e+02
3.06906906906906e+09	-4.47547148861456e+02,-6.52546794833315e+02
3.07007007007006e+09	-4.49169487696407e+02,-6.52781581994257e+02
3.07107107107106e+09	-4.50796759805653e+02,-6.53011703633704e+02
3.07207207207206e+09	-4.52428961977777e+02,-6.53237117524798e+02
3.07307307307306e+09	-4.54066090710985e+02,-6.53457781240421e+02
3.07407407407407e+09	-4.55708142209577e+02,-6.53673652154250e+02
3.07507507507507e+09	-4.57355112380411e+02,-6.53884687441844e+02
3.07607607607607e+09	-4.59006996829337e+02,-6.54090844081776e+02
3.07707707707707e+09	-4.60663790857628e+02,-6.54292078856818e+02
3.07807807807807e+09	-4.62325489458381e+02,-6.54488348355155e+02
3.07907907907907e+09	-4.63992087312915e+02,-6.54679608971657e+02
3.08008008008007e+09	-4.65663578787151e+02,-6.54865816909194e+02
3.08108108108107e+09	-4.67339957927947e+02,-6.55046928179985e+02
3.08208208208207e+09	-4.69021218459483e+02,-6.55222898607018e+02
3.08308308308307e+09	-4.70707353779564e+02,-6.55393683825493e+02
3.08408408408407e+09	-4.72398356955948e+02,-6.55559239284326e+02
3.08508508508507e+09	-4.74094220722635e+02,-6.55719520247697e+02
3.08608608608608e+09	-4.75794937476196e+02,-6.55874481796660e+02
3.08708708708708e+09	-4.77500499271999e+02,-6.56024078830772e+02
3.08808808808808e+09	-4.79210897820522e+02,-6.56168266069813e+02
3.08908908908908e+09	-4.80926124483575e+02,-6.56306998055521e+02
3.09009009009008e+09	-4.82646170270550e+02,-6.56440229153402e+02
3.09109109109108e+09	-4.84371025834676e+02,-6.56567913554584e+02
3.09209209209208e+09	-4.86100681469211e+02,-6.56690005277720e+02
3.09309309309308e+09	-4.87835127103654e+02,-6.56806458170948e+02
3.09409409409408e+09	-4.89574352299975e+02,-6.56917225913909e+02
3.09509509509508e+09	-4.91318346248800e+02,-6.57022262019818e+02
3.09609609609608e+09	-4.93067097765567e+02,-6.57121519837578e+02
3.09709709709709e+09	-4.94820595286756e+02,-6.57214952553972e+02
3.09809809809809e+09	-4.96578826866016e+02,-6.57302513195888e+02
3.09909909909909e+09	-4.98341780170374e+02,-6.57384154632626e+02
3.10010010010009e+09	-5.00109442476346e+02,-6.57459829578231e+02
3.10110110110109e+09	-5.01881800666134e+02,-6.57529490593914e+02
3.10210210210209e+09	-5.03658841223768e+02,-6.57593090090522e+02
3.10310310310309e+09	-5.05440550231244e+02,-6.57650580331053e+02
3.10410410410409e+09	-5.07226913364672e+02,-6.57701913433250e+02
3.10510510510509e+09	-5.09017915890429e+02,-6.57747041372250e+02
3.10610610610609e+09	-5.10813542661297e+02,-6.57785915983286e+02
3.10710710710709e+09	-5.12613778112603e+02,-6.57818488964463e+02
3.10810810810810e+09	-5.14418606258351e+02,-6.57844711879581e+02
3.10910910910910e+09	-5.16228010687384e+02,-6.57864536161039e+02
3.11011011011010e+09	-5.18041974559515e+02,-6.57877913112784e+02
3.11111111111110e+09	-5.19860480601671e+02,-6.57884793913337e+02
3.11211211211210e+09	-5.21683511104065e+02,-6.57885129618879e+02
3.11311311311310e+09	-5.23511047916317e+02,-6.57878871166395e+02
3.11411411411410e+09	-5.25343072443634e+02,-6.57865969376896e+02
3.11511511511510e+09	-5.27179565642990e+02,-6.57846374958699e+02
3.11611611611610e+09	-5.29020508019248e+02,-6.57820038510769e+02
3.11711711711710e+09	-5.30865879621401e+02,-6.57786910526140e+02
3.11811811811810e+09	-5.32715660038709e+02,-6.57746941395391e+02
3.11911911911910e+09	-5.34569828396933e+02,-6.57700081410202e+02
3.12012012012011e+09	-5.36428363354524e+02,-6.57646280766964e+02
3.12112112112111e+09	-5.38291243098835e+02,-6.57585489570467e+02
3.12212212212211e+09	-5.40158445342379e+02,-6.57517657837660e+02
3.12312312312311e+09	-5.42029947319060e+02,-6.57442735501472e+02
3.12412412412411e+09	-5.43905725780429e+02,-6.57360672414706e+02
3.12512512512511e+09	-5.45785756991955e+02,-6.57271418354002e+02
3.12612612612611e+09	-5.47670016729342e+02,-6.57174923023884e+02
3.12712712712711e+09	-5.49558480274807e+02,-6.57071136060854e+02
3.12812812812811e+09	-5.51451122413429e+02,-6.56960007037578e+02
3.12912912912911e+09	-5.53347917429503e+02,-6.56841485467138e+02
3.13013013013011e+09	-5.55248839102865e+02,-6.56715520807348e+02
3.13113113113112e+09	-5.57153860705344e+02,-6.56582062465158e+02
3.13213213213212e+09	-5.59062954997123e+02,-6.56441059801118e+02
3.13313313313312e+09	-5.60976094223224e+02,-6.56292462133924e+02
3.13413413413412e+09	-5.62893250109931e+02,-6.56136218745028e+02
3.13513513513512e+09	-5.64814393861287e+02,-6.55972278883334e+02
3.13613613613612e+09	-5.66739496155644e+02,-6.55800591769957e+02
