Freq.	S11(v1)	S21(v1)	S12(v1)	S22(v1)
1.00000000000000e+09	(-7.63264472827393e-03dB,1.70329893806974e+02°)	(-2.75765340132028e+01dB,1.71068525753368e+02°)	(-2.75765340132028e+01dB,1.71068525753368e+02°)	(-7.59647315781914e-03dB,-8.19095015261967e+00°)
1.00400400400400e+09	(-7.76593353465272e-03dB,1.70285165309219e+02°)	(-2.75010584935836e+01dB,1.71026761301606e+02°)	(-2.75010584935836e+01dB,1.71026761301606e+02°)	(-7.72974947586631e-03dB,-8.22975683532340e+00°)
1.00800800800801e+09	(-7.90111163515386e-03dB,1.70240356632149e+02°)	(-2.74258319627602e+01dB,1.70984916637790e+02°)	(-2.74258319627602e+01dB,1.70984916637790e+02°)	(-7.86491502015002e-03dB,-8.26864370606599e+00°)
1.01201201201201e+09	(-8.03820062101279e-03dB,1.70195467278764e+02°)	(-2.73508521920094e+01dB,1.70942991265229e+02°)	(-2.73508521920094e+01dB,1.70942991265229e+02°)	(-8.00199138164549e-03dB,-8.30761126188022e+00°)
1.01601601601602e+09	(-8.17722229743186e-03dB,1.70150496749501e+02°)	(-2.72761169783925e+01dB,1.70900984684660e+02°)	(-2.72761169783925e+01dB,1.70900984684660e+02°)	(-8.14100036530044e-03dB,-8.34666000236301e+00°)
1.02002002002002e+09	(-8.31819868580161e-03dB,1.70105444542213e+02°)	(-2.72016241443467e+01dB,1.70858896394233e+02°)	(-2.72016241443467e+01dB,1.70858896394233e+02°)	(-8.28196399224678e-03dB,-8.38579042969568e+00°)
1.02402402402402e+09	(-8.46115202592655e-03dB,1.70060310152147e+02°)	(-2.71273715372854e+01dB,1.70816725889488e+02°)	(-2.71273715372854e+01dB,1.70816725889488e+02°)	(-8.42490450203504e-03dB,-8.42500304866440e+00°)
1.02802802802803e+09	(-8.60610477830255e-03dB,1.70015093071924e+02°)	(-2.70533570292056e+01dB,1.70774472663333e+02°)	(-2.70533570292056e+01dB,1.70774472663333e+02°)	(-8.56984435488762e-03dB,-8.46429836668071e+00°)
1.03203203203203e+09	(-8.75307962639584e-03dB,1.69969792791522e+02°)	(-2.69795785163034e+01dB,1.70732136206027e+02°)	(-2.69795785163034e+01dB,1.70732136206027e+02°)	(-8.71680623401543e-03dB,-8.50367689380233e+00°)
1.03603603603604e+09	(-8.90209947896506e-03dB,1.69924408798249e+02°)	(-2.69060339185964e+01dB,1.70689716005155e+02°)	(-2.69060339185964e+01dB,1.70689716005155e+02°)	(-8.86581304790999e-03dB,-8.54313914275399e+00°)
1.04004004004004e+09	(-9.05318747241005e-03dB,1.69878940576726e+02°)	(-2.68327211795539e+01dB,1.70647211545611e+02°)	(-2.68327211795539e+01dB,1.70647211545611e+02°)	(-9.01688793270089e-03dB,-8.58268562894852e+00°)
1.04404404404404e+09	(-9.20636697313769e-03dB,1.69833387608864e+02°)	(-2.67596382657341e+01dB,1.70604622309574e+02°)	(-2.67596382657341e+01dB,1.70604622309574e+02°)	(-9.17005425452837e-03dB,-8.62231687050807e+00°)
