Name,Designator,Description,Packaging,PackageReference,Footprint

"GRM1555C1H102FA01D","C1","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 1%, 50V","Tape and Reel","","FP-GRM155-0_05-IPC_B"
"04023J0R2PBSTR","C2","","","","CAPC1006X50X20LL10T10"
"GRM1555C1H3R4WA01D","C4","","","","CAPC1005X55X25ML05T10"
"GRM1555C1H3R4WA01D","C5","","","","CAPC1005X55X25ML05T10"
"LQG15HN2N0B02D","L1","Multilayer type RF Inductor 2nH ±0.1nH 0.09O 900mA 0402","","","FP-LQG15HH_02-MFG"
"LQG15HN2N0B02D","L2","Multilayer type RF Inductor 2nH ±0.1nH 0.09O 900mA 0402","","","FP-LQG15HH_02-MFG"
"LQP03TN2N0B02D","L3","Film type RF Inductor 2nH ±0.1nH 600mA 0.15O 0201 (0603)","Tape and Reel","","FP-LQP03TG_02-IPC_A"
"LQG15WZ10NG02D","L4","Multilayer type Inductor for Automotive 10nH ±2% 0.19O 500mA 0402","","","FP-LQG15WH_02-IPC_A"
"62000211121","P1","","","","62000211121"
"BFP520","Q1","NPN Silicon RF Transistor, 2.5 V VCEO, 40 mA IC, 23.5 dB Gmax, SOT343, Green","","SOT343","INF-SOT343_V"
"BFP520","Q2","NPN Silicon RF Transistor, 2.5 V VCEO, 40 mA IC, 23.5 dB Gmax, SOT343, Green","","SOT343","INF-SOT343_V"
"BFP520","Q3","NPN Silicon RF Transistor, 2.5 V VCEO, 40 mA IC, 23.5 dB Gmax, SOT343, Green","","SOT343","INF-SOT343_V"
"CRCW06035K10FKEA","R1","RES Thick Film, 5.1kO, 1%, 0.1W, 100ppm/°C, 0603","Tape and Reel","","FP-CRCW0603-e3-IPC_C"
